año;organismo;codigo;descripcion;total;cap1;cap2;cap3;cap4;cap5;cap6;cap7;cap8
2021;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;176185422,44;125144250,0;1157786,42;34890620,81;35772,32;2208,92;88272,96;1036421,01;13830090,0
2022;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;77877802,67;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;2;IMPUESTOS INDIRECTOS;57879547,69;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;9889126,91;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;4;TRANSFERENCIAS CORRIENTES;13408999,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;5;INGRESOS PATRIMONIALES;6471282,01;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;6;ENAJENACION DE INVERSIONES REALES;109004,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;7;TRANSFERENCIAS DE CAPITAL;17267850,72;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;ESTADO;8;ACTIVOS FINANCIEROS;14556400,86;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2022;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;185133991,54;136344725,25;940923,24;40260313,88;25847,75;1885,02;134479,2;444227,2;6981590,0
2023;ESTADO;1;IMPUESTOS DIRECTOS Y COTIZACIONES SOCIALES;86428535,02;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;2;IMPUESTOS INDIRECTOS;57809239,51;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;3;TASAS, PRECIOS PUBLICOS Y OTROS INGRESOS;10778944,06;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;4;TRANSFERENCIAS CORRIENTES;13556039,68;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;5;INGRESOS PATRIMONIALES;6170901,99;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;6;ENAJENACION DE INVERSIONES REALES;106200,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;7;TRANSFERENCIAS DE CAPITAL;14155141,03;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;ESTADO;8;ACTIVOS FINANCIEROS;3539165,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2023;SEGURIDAD SOCIAL;60;SEGURIDAD SOCIAL;209177262,33;152075014,42;1021319,86;43511374,19;25793,57;1810,02;435423,73;2102720,39;10003806,15
