year;code;name;amount;policy
2019;231D;Servicios Sociales de la Seguridad Social a personas mayores;117.340,60;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2019;231E;Otros servicios sociales de la Seguridad Social;47.605,16;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2019;231I;Autonomía personal y atención a la dependencia;1.401.091,30;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2019;239M;Gestión de los servicios sociales de la Seguridad Social;47.306,38;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2019;291M;Dirección y Servicios Generales de Seguridad Social y Protección Social;3.204.627,29;29. GESTIÓN Y ADMINISTRACIÓN DE LA INCLUSIÓN, DE LA SEGURIDAD SOCIAL Y DE LA MIGRACIÓN
2019;311M;Dirección y Servicios Generales de Sanidad, Servicios Sociales e Igualdad;15.966,91;31. SANIDAD
2019;312B;Atención primaria de salud. Instituto Nacional de Gestión Sanitaria;65.704,41;31. SANIDAD
2019;312C;Atención especializada de salud. Instituto Nacional de Gestión Sanitaria;160.409,46;31. SANIDAD
2019;312D;Medicina marítima;35.123,77;31. SANIDAD
2019;312F;Atención primaria de salud de Mutuas colaboradoras con la Seguridad Social e Instituto Social de la Marina;944.377,56;31. SANIDAD
2019;312G;Atención especializada de salud de Mutuas colaboradoras con la Seguridad Social e Instituto Social de la Marina;459.005,26;31. SANIDAD
2019;322I;Enseñanzas especiales;2.575,03;32. EDUCACIÓN
2019;000X;Transferencias internas (Sección: 60 SEGURIDAD SOCIAL);4.369.580,49;32. EDUCACIÓN
2020;911M;Jefatura del Estado;7.887,15;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;911N;Actividad legislativa;212.136,84;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;911O;Control externo del Sector Público;63.016,62;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;911P;Control Constitucional;23.866,87;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;912N;Alto asesoramiento del Estado;11.388,65;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2020;951M;Amortización y gastos financieros de la deuda pública en euros;110.939.165,82;95. GASTOS FINANCIEROS DE LA DEUDA PUBLICA
2020;951N;Amortización y gastos financieros de la deuda pública en moneda extranjera;1.918.962,00;95. GASTOS FINANCIEROS DE LA DEUDA PUBLICA
2020;211N;Pensiones de Clases Pasivas;14.589.889,81;21. PENSIONES
2020;211O;Otras pensiones y prestaciones de Clases Pasivas;42.274,37;21. PENSIONES
2020;212N;Pensiones de guerra;158.817,84;21. PENSIONES
2020;000X;Transferencias internas (Sección: 07 CLASES PASIVAS);249,75;21. PENSIONES
2020;111M;Gobierno del Poder Judicial;33.607,16;11. JUSTICIA
2020;111O;Selección y formación de jueces;15.230,34;11. JUSTICIA
2020;111P;Documentación y publicaciones judiciales;9.288,64;11. JUSTICIA
2020;923S;Aportaciones al Mutualismo Administrativo;2.053.538,78;92. SERVICIOS DE CARÁCTER GENERAL
2020;000X;Transferencias internas (Sección: 09 APORTACIONES AL MUTUALISMO ADMINISTRATIVO);103.533,67;92. SERVICIOS DE CARÁCTER GENERAL
2020;923R;Contratación centralizada;283.321,43;92. SERVICIOS DE CARÁCTER GENERAL
