241N;Desarrollo de la economía social y de la responsabilidad social de las empresas;9.811,48;24. FOMENTO DEL EMPLEO
241O;Desarrollo del trabajo autónomo;6.839,16;24. FOMENTO DEL EMPLEO
251M;Prestaciones a los desempleados;21.278.019,88;25. DESEMPLEO
281M;Dirección y Servicios Generales de Trabajo y Economía Social;118.902,74;28. GESTIÓN Y ADMINISTRACIÓN DE TRABAJO Y ECONOMÍA SOCIAL
291A;Inspección y control de Seguridad y Protección Social;203.130,84;29. GESTIÓN Y ADMINISTRACIÓN DE LA INCLUSIÓN, DE LA SEGURIDAD SOCIAL Y DE LA MIGRACIÓN
494M;Administración de las relaciones laborales y condiciones de trabajo;80.568,51;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
912P;Asesoramiento del Gobierno en materia social, económica y laboral;9.220,85;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
000X;Transferencias y libramientos internos (Sección: 19 MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL);564.232,62;92. SERVICIOS DE CARÁCTER GENERAL
421M;Dirección y Servicios Generales de Industria y Turismo;67.077,23;42. INDUSTRIA Y ENERGÍA
421N;Regulación y protección de la Propiedad Industrial;53.424,74;42. INDUSTRIA Y ENERGÍA
421O;Calidad y seguridad industrial;3.775,88;42. INDUSTRIA Y ENERGÍA
422B;Desarrollo industrial;334.350,81;42. INDUSTRIA Y ENERGÍA
422M;Reconversión y reindustrialización;652.774,86;42. INDUSTRIA Y ENERGÍA
432A;Coordinación y promoción del turismo;270.076,89;43. COMERCIO, TURISMO Y PYMES
433M;Apoyo a la pequeña y mediana empresa;142.320,09;43. COMERCIO, TURISMO Y PYMES
464B;Apoyo a la innovación tecnológica en el sector de la defensa;1.601.150,14;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
467C;Investigación y desarrollo tecnológico-industrial;278.840,00;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
495C;Metrología;10.072,09;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
921U;Publicaciones;180,00;92. SERVICIOS DE CARÁCTER GENERAL
000X;Transferencias y libramientos internos (Sección: 20 MINISTERIO DE INDUSTRIA Y TURISMO);101.990,39;92. SERVICIOS DE CARÁCTER GENERAL
411M;Dirección y Servicios Generales de Agricultura, Pesca y Alimentación;135.896,33;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
412C;Competitividad y calidad de la producción y los mercados agrarios;58.454,27;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
412D;Competitividad y calidad de la sanidad agraria;46.690,50;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
412M;Regulación de los mercados agrarios;5.787.297,25;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
413A;Competitividad industria agroalimentaria y calidad alimentaria;34.387,25;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
414A;Gestión de recursos hídricos para el regadío, caminos naturales y otras infraestructuras rurales;157.022,57;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
414B;Desarrollo del medio rural;1.782.545,38;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
415A;Protección de los recursos pesqueros y desarrollo sostenible;24.370,64;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
415B;Mejora de estructuras y mercados pesqueros;62.344,16;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
416A;Previsión de riesgos en las producciones agrarias y pesqueras;322.974,30;41. AGRICULTURA, PESCA Y ALIMENTACIÓN
000X;Transferencias y libramientos internos (Sección: 21 MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN);357.218,03;92. SERVICIOS DE CARÁCTER GENERAL
921M;Dirección y Servicios Generales de Política Territorial y Memoria Democrática;41.363,67;92. SERVICIOS DE CARÁCTER GENERAL
921P;Administración General del Estado en el Territorio;285.864,80;92. SERVICIOS DE CARÁCTER GENERAL
922M;Organización territorial del Estado y desarrollo de sus sistemas de colaboración;11.759,09;92. SERVICIOS DE CARÁCTER GENERAL
925M;Memoria democrática;13.952,00;92. SERVICIOS DE CARÁCTER GENERAL
